Meter_ID,Datetime,Time,Day,Random for Hour,Day Scaling,Distance from 3PM,Scale to 1 if past 6 hours,Cos Scaled,Meter Scaling,Production Raw,Production (KW),Production (KWH),Solar Irradiance
1,1/1/2021 0:00,1/0/1900 0:00,1/1/2021,1.04,0.49,0.625,1,0,5,0,0,0,0
1,1/1/2021 0:15,1/0/1900 0:15,1/1/2021,0.91,0.49,0.614583333,1,0,5,0,0,0,0
1,1/1/2021 0:30,1/0/1900 0:30,1/1/2021,1.01,0.49,0.604166667,1,0,5,0,0,0,0
1,1/1/2021 0:45,1/0/1900 0:45,1/1/2021,1.09,0.49,0.59375,1,0,5,0,0,0,0
1,1/1/2021 1:00,1/0/1900 1:00,1/1/2021,1.03,0.49,0.583333333,1,0,5,0,0,0,0
1,1/1/2021 1:15,1/0/1900 1:15,1/1/2021,1.1,0.49,0.572916667,1,0,5,0,0,0,0
1,1/1/2021 1:30,1/0/1900 1:30,1/1/2021,0.95,0.49,0.5625,1,0,5,0,0,0,0
1,1/1/2021 1:45,1/0/1900 1:45,1/1/2021,1.01,0.49,0.552083333,1,0,5,0,0,0,0
1,1/1/2021 2:00,1/0/1900 2:00,1/1/2021,0.96,0.49,0.541666667,1,0,5,0,0,0,0
1,1/1/2021 2:15,1/0/1900 2:15,1/1/2021,0.94,0.49,0.53125,1,0,5,0,0,0,0
1,1/1/2021 2:30,1/0/1900 2:30,1/1/2021,0.95,0.49,0.520833333,1,0,5,0,0,0,0
1,1/1/2021 2:45,1/0/1900 2:45,1/1/2021,0.95,0.49,0.510416667,1,0,5,0,0,0,0
1,1/1/2021 3:00,1/0/1900 3:00,1/1/2021,1.08,0.49,0.5,1,0,5,0,0,0,0
1,1/1/2021 3:15,1/0/1900 3:15,1/1/2021,1.01,0.49,0.489583333,1,0,5,0,0,0,0
1,1/1/2021 3:30,1/0/1900 3:30,1/1/2021,0.96,0.49,0.479166667,1,0,5,0,0,0,0
1,1/1/2021 3:45,1/0/1900 3:45,1/1/2021,0.98,0.49,0.46875,1,0,5,0,0,0,0
1,1/1/2021 4:00,1/0/1900 4:00,1/1/2021,1.03,0.49,0.458333333,1,0,5,0,0,0,0
1,1/1/2021 4:15,1/0/1900 4:15,1/1/2021,0.93,0.49,0.447916667,1,0,5,0,0,0,0
1,1/1/2021 4:30,1/0/1900 4:30,1/1/2021,0.98,0.49,0.4375,1,0,5,0,0,0,0
1,1/1/2021 4:45,1/0/1900 4:45,1/1/2021,0.95,0.49,0.427083333,1,0,5,0,0,0,0
1,1/1/2021 5:00,1/0/1900 5:00,1/1/2021,0.94,0.49,0.416666667,1,0,5,0,0,0,0
1,1/1/2021 5:15,1/0/1900 5:15,1/1/2021,0.9,0.49,0.40625,1,0,5,0,0,0,0
1,1/1/2021 5:30,1/0/1900 5:30,1/1/2021,0.98,0.49,0.395833333,1,0,5,0,0,0,0
1,1/1/2021 5:45,1/0/1900 5:45,1/1/2021,0.94,0.49,0.385416667,1,0,5,0,0,0,0
